Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;36.797,64;36.727,10;36.865,37;37.100,68;37.266,94;37.444,94;37.575,61;37.577,74;37.762,97;37.914,20;37.972,65;38.260,61
2;36.805,92;36.721,16;36.874,24;37.107,84;37.271,90;37.450,96;37.579,36;37.576,52;37.771,46;37.917,99;37.973,87;38.273,30
3;36.814,21;36.715,22;36.883,11;37.115,00;37.276,86;37.456,99;37.583,12;37.575,31;37.779,96;37.921,78;37.975,10;38.286,00
4;36.822,49;36.709,29;36.891,98;37.122,16;37.281,82;37.463,01;37.586,87;37.574,10;37.788,47;37.925,56;37.976,32;38.298,70
5;36.830,78;36.703,35;36.900,86;37.129,33;37.286,78;37.469,04;37.590,62;37.572,88;37.796,97;37.929,35;37.977,55;38.311,40
6;36.839,07;36.697,42;36.909,73;37.136,49;37.291,74;37.475,07;37.594,38;37.571,67;37.805,48;37.933,14;37.978,77;38.324,11
7;36.847,36;36.691,48;36.918,61;37.143,66;37.296,70;37.481,10;37.598,13;37.570,46;37.813,98;37.936,93;37.980,00;38.336,83
8;36.855,65;36.685,55;36.927,49;37.150,83;37.301,67;37.487,13;37.601,88;37.569,25;37.822,49;37.940,71;37.981,22;38.349,54
9;36.863,94;36.679,62;36.936,38;37.158,00;37.306,63;37.493,16;37.605,64;37.568,03;37.831,01;37.944,50;37.982,44;38.362,26
10;36.857,98;36.688,44;36.943,51;37.162,94;37.312,63;37.496,90;37.604,43;37.576,48;37.834,79;37.945,72;37.995,04;38.364,73
11;36.852,02;36.697,27;36.950,64;37.167,89;37.318,64;37.500,65;37.603,21;37.584,94;37.838,57;37.946,95;38.007,64;38.367,21
12;36.846,06;36.706,10;36.957,77;37.172,84;37.324,64;37.504,39;37.602,00;37.593,40;37.842,34;37.948,17;38.020,25;38.369,68
13;36.840,10;36.714,93;36.964,90;37.177,78;37.330,65;37.508,14;37.600,79;37.601,86;37.846,12;37.949,39;38.032,87;38.372,15
14;36.834,15;36.723,76;36.972,04;37.182,73;37.336,65;37.511,88;37.599,57;37.610,32;37.849,90;37.950,62;38.045,48;38.374,62
15;36.828,19;36.732,60;36.979,17;37.187,68;37.342,66;37.515,63;37.598,36;37.618,79;37.853,68;37.951,84;38.058,10;38.377,10
16;36.822,24;36.741,43;36.986,31;37.192,63;37.348,67;37.519,38;37.597,15;37.627,25;37.857,46;37.953,06;38.070,73;38.379,57
17;36.816,29;36.750,27;36.993,44;37.197,58;37.354,68;37.523,12;37.595,93;37.635,72;37.861,24;37.954,29;38.083,36;38.382,05
18;36.810,33;36.759,11;37.000,58;37.202,53;37.360,69;37.526,87;37.594,72;37.644,19;37.865,02;37.955,51;38.095,99;38.384,52
19;36.804,38;36.767,95;37.007,72;37.207,48;37.366,70;37.530,62;37.593,51;37.652,66;37.868,80;37.956,74;38.108,63;38.386,99
20;36.798,43;36.776,80;37.014,87;37.212,43;37.372,71;37.534,36;37.592,29;37.661,13;37.872,58;37.957,96;38.121,27;38.389,47
21;36.792,48;36.785,65;37.022,01;37.217,38;37.378,73;37.538,11;37.591,08;37.669,61;37.876,37;37.959,18;38.133,92;38.391,94
22;36.786,53;36.794,50;37.029,16;37.222,33;37.384,74;37.541,86;37.589,87;37.678,09;37.880,15;37.960,41;38.146,57;38.394,42
23;36.780,58;36.803,35;37.036,30;37.227,29;37.390,76;37.545,61;37.588,65;37.686,57;37.883,93;37.961,63;38.159,22;38.396,89
24;36.774,64;36.812,20;37.043,45;37.232,24;37.396,77;37.549,36;37.587,44;37.695,05;37.887,71;37.962,86;38.171,88;38.399,37
25;36.768,69;36.821,06;37.050,60;37.237,20;37.402,79;37.553,11;37.586,23;37.703,53;37.891,50;37.964,08;38.184,54;38.401,84
26;36.762,75;36.829,92;37.057,75;37.242,15;37.408,81;37.556,86;37.585,01;37.712,02;37.895,28;37.965,30;38.197,21;38.404,32
27;36.756,80;36.838,78;37.064,90;37.247,11;37.414,83;37.560,61;37.583,80;37.720,50;37.899,07;37.966,53;38.209,88;38.406,79
28;36.750,86;36.847,64;37.072,05;37.252,06;37.420,85;37.564,36;37.582,59;37.728,99;37.902,85;37.967,75;38.222,56;38.409,27
29;36.744,92;36.856,50;37.079,21;37.257,02;37.426,87;37.568,11;37.581,37;37.737,48;37.906,63;37.968,98;38.235,24;38.411,74
30;36.738,98;;37.086,36;37.261,98;37.432,89;37.571,86;37.580,16;37.745,97;37.910,42;37.970,20;38.247,92;38.414,22
31;36.733,04;;37.093,52;;37.438,91;;37.578,95;37.754,47;;37.971,42;;38.416,69
